RA[deg],DEC[deg],Reff[arcsec],PetroMag_i,CLASS,z
194.87792,28.08806,1.5,25.0,1,0.021
194.87958,28.72917,1.3,15.975698471069336,1,0.021
194.8825,27.91417,1.4,18.14622688293457,1,0.021
194.88292,27.83056,1.2,17.862407684326172,1,0.021
194.88667,28.38,1.1,18.063396453857422,1,0.021
194.88708,27.88056,1.6,17.76570701599121,1,0.021
194.88875,28.15361,1.5,14.809361457824707,1,0.021
194.88958,28.15389,1.5,17.768226623535156,1,0.021
194.89042,28.53167,1.2,21.299999237060547,1,0.021
194.89083,28.51361,1.5,21.299999237060547,1,0.021
194.89167,27.93778,1.1,17.8904972076416,1,0.021
194.89167,28.25528,1.8,15.068485260009766,1,0.021
194.89208,28.17222,1.8,17.848947525024414,1,0.021
194.8925,28.08972,1.1,17.683317184448242,1,0.021
194.8925,28.635,4.3,17.146543502807617,1,0.021
194.89958,27.94,1.9,18.017135620117188,1,0.021
194.90125,28.24917,2.5,17.146543502807617,1,0.021
194.90125,28.32806,1.2,18.017135620117188,1,0.021
194.90167,27.85056,1.5,18.37204933166504,1,0.021
194.90167,27.85194,1.4,17.099021911621094,1,0.021
194.90208,28.16417,2.5,18.889999389648438,1,0.021
194.90292,27.81889,1.5,18.467260360717773,1,0.021
194.90333,28.24972,2.0,18.321191787719727,1,0.021
194.90458,28.08611,1.4,16.686307907104492,1,0.021
194.905,27.80417,1.3,14.465415000915527,1,0.021
194.905,27.93167,1.4,14.465415000915527,1,0.021
194.9075,28.22806,3.7,16.667940139770508,1,0.021
194.90958,28.27,0.9,25.0,1,0.021
194.91042,27.81333,1.3,16.667940139770508,1,0.021
194.91292,27.99222,1.5,25.0,1,0.021
194.91292,27.76611,1.4,16.868309020996094,1,0.021
194.91625,28.05333,1.1,17.961252212524414,1,0.021
194.91625,27.94556,0.8,18.739999771118164,1,0.021
194.91708,27.85,2.3,18.27811622619629,1,0.021
194.91708,28.22861,0.9,17.10591697692871,1,0.021
194.91792,28.30056,1.1,25.11439323425293,1,0.021
194.91875,27.94528,0.5,25.11439323425293,1,0.021
194.92042,27.95472,1.2,16.446535110473633,1,0.021
194.92167,28.08333,1.6,17.88206672668457,1,0.021
194.92375,27.96056,1.0,16.007171630859375,1,0.021
194.92375,27.94667,0.8,17.783336639404297,1,0.021
194.92542,28.50278,1.2,16.30768585205078,1,0.021
194.92625,28.16694,1.4,19.5,1,0.021
194.92708,28.39667,1.1,16.269319534301758,1,0.021
194.9275,27.78333,2.1,19.170000076293945,1,0.021
194.92875,27.99833,2.5,25.0,1,0.021
194.93042,27.90611,1.6,17.492021560668945,1,0.021
194.9325,27.87944,1.8,17.532672882080078,1,0.021
194.93292,28.20333,1.3,19.219999313354492,1,0.021
194.93375,27.74306,2.7,17.449731826782227,1,0.021
194.93542,28.45972,1.4,19.975276947021484,1,0.021
194.93583,28.25639,4.1,20.389999389648438,1,0.021
194.93625,27.92694,1.1,16.516386032104492,1,0.021
194.93667,27.96861,1.6,17.889005661010742,1,0.021
194.93833,27.92639,2.2,16.73169708251953,1,0.021
194.93833,28.61139,0.9,16.928098678588867,1,0.021
194.93875,27.97472,2.0,16.928098678588867,1,0.021
194.93958,28.05361,2.0,17.073591232299805,1,0.021
194.94042,28.42056,2.9,16.302162170410156,1,0.021
194.94292,27.70528,1.7,17.942533493041992,1,0.021
194.94458,28.27833,1.1,16.805294036865234,1,0.021
194.94542,27.81917,3.9,17.865428924560547,1,0.021
194.94708,27.85167,1.5,17.656600952148438,1,0.021
194.94708,28.27583,1.4,18.176576614379883,1,0.021
194.94792,27.82528,2.3,18.037033081054688,1,0.021
194.95,28.74444,1.2,18.037033081054688,1,0.021
194.95,28.59528,2.7,18.037033081054688,1,0.021
194.95083,28.25889,1.4,18.188316345214844,1,0.021
194.95417,27.91556,1.5,18.1564998626709,1,0.021
194.95417,28.12167,2.0,16.741846084594727,1,0.021
194.95417,28.50667,1.2,19.020000457763672,1,0.021
194.955,27.92389,1.5,17.329999923706055,1,0.021
194.95583,28.64639,1.0,17.357872009277344,1,0.021
194.95833,28.55278,1.3,17.421611785888672,1,0.021
194.95875,27.73556,3.6,18.29767608642578,1,0.021
194.95958,28.18917,1.9,17.123212814331055,1,0.021
194.96,28.51194,1.2,18.18509292602539,1,0.021
194.96125,28.29528,1.0,17.920881271362305,1,0.021
194.96167,27.83694,2.3,20.15999984741211,1,0.021
194.96292,27.75111,1.3,16.714750289916992,1,0.021
194.96375,28.29278,0.9,16.816431045532227,1,0.021
194.96583,28.25333,2.3,18.81999969482422,1,0.021
194.96958,28.68889,1.3,18.091943740844727,1,0.021
194.97,28.64167,1.2,15.348395347595215,1,0.021
194.97042,28.605,1.1,18.626745223999023,1,0.021
194.97083,27.74111,1.5,18.202959060668945,1,0.021
194.97208,28.31056,1.3,18.012378692626953,1,0.021
194.97375,28.51417,1.7,18.202959060668945,1,0.021
194.97375,28.40444,2.4,18.012378692626953,1,0.021
194.97625,28.19833,1.0,18.739532470703125,1,0.021
194.97792,28.30417,1.2,18.185298919677734,1,0.021
194.97792,28.03111,1.0,19.270000457763672,1,0.021
194.98,28.25139,1.9,18.185298919677734,1,0.021
194.98042,28.02833,2.3,19.270000457763672,1,0.021
194.98042,27.85111,1.4,18.185298919677734,1,0.021
194.98042,27.92611,2.3,19.270000457763672,1,0.021
194.98042,28.33444,1.7,18.185298919677734,1,0.021
194.98083,28.04111,1.7,19.270000457763672,1,0.021
194.98083,28.50667,1.1,16.21978759765625,1,0.021
194.98125,28.23722,1.1,16.21978759765625,1,0.021
194.98292,28.55222,1.9,18.015344619750977,1,0.021
194.98417,27.80361,1.4,17.94027328491211,1,0.021
194.98417,28.25417,1.5,17.08806037902832,1,0.021
194.98542,27.83639,1.3,18.077861785888672,1,0.021
194.98542,27.98583,1.0,18.077861785888672,1,0.021
194.98625,27.82806,1.1,17.253950119018555,1,0.021
194.98625,28.71889,1.1,15.600000381469727,1,0.021
194.98667,27.93778,1.5,17.873878479003906,1,0.021
194.98708,28.62167,1.3,17.1189022064209,1,0.021
194.98792,28.05333,1.0,15.232585906982422,1,0.021
194.98917,28.32444,1.5,19.899999618530273,1,0.021
194.99,27.82306,1.1,17.39655113220215,1,0.021
194.99083,28.63667,1.2,18.661115646362305,1,0.021
194.99125,28.50778,1.2,15.5,1,0.021
194.99208,27.86611,2.4,16.90152359008789,1,0.021
194.99333,28.6025,1.3,18.091365814208984,1,0.021
194.99458,28.59417,1.3,18.645265579223633,1,0.021
194.99583,28.01111,1.3,18.087146759033203,1,0.021
194.99667,28.25528,0.6,19.139999389648438,1,0.021
194.99667,27.74111,1.4,18.645265579223633,1,0.021
194.99708,28.23333,1.7,18.087146759033203,1,0.021
195.0,28.64639,1.1,19.139999389648438,1,0.021
195.00042,28.24333,1.3,17.096956253051758,1,0.021
195.00083,28.63194,1.1,16.39417266845703,1,0.021
195.00083,27.93722,1.0,18.860000610351562,1,0.021
195.00125,28.255,1.1,16.39417266845703,1,0.021
195.00125,28.13194,2.6,18.860000610351562,1,0.021
195.00167,27.80556,2.0,17.580705642700195,1,0.021
195.00208,27.96806,1.0,18.076364517211914,1,0.021
195.00292,28.72583,1.3,16.855907440185547,1,0.021
195.00458,28.60806,0.9,18.0978946685791,1,0.021
195.00625,28.60361,1.3,16.84367561340332,1,0.021
195.0075,27.98167,1.0,16.464303970336914,1,0.021
195.00958,28.28583,1.2,19.899999618530273,1,0.021
195.01,28.21194,1.1,17.847118377685547,1,0.021
195.01083,28.745,2.5,16.612350463867188,1,0.021
195.01167,27.94583,1.7,18.066387176513672,1,0.021
195.01292,28.20389,1.2,16.723447799682617,1,0.021
195.01458,28.41194,2.2,17.796342849731445,1,0.021
195.015,28.12694,1.9,15.850677490234375,1,0.021
195.015,27.79722,1.4,15.850677490234375,1,0.021
195.01583,28.35194,1.2,16.22800064086914,1,0.021
195.01583,27.85278,1.3,16.22800064086914,1,0.021
195.01667,28.26806,1.0,20.0,1,0.021
195.01667,27.93056,1.2,15.928322792053223,1,0.021
195.0175,27.89528,1.7,20.059999465942383,1,0.021
195.01792,28.06944,2.1,17.34511947631836,1,0.021
195.01833,28.01222,1.4,16.242650985717773,1,0.021
195.01917,27.99472,1.7,18.3515567779541,1,0.021
195.02042,28.67667,1.0,17.06420135498047,1,0.021
195.02042,27.86694,1.4,15.699999809265137,1,0.021
195.02125,27.83417,1.3,17.242488861083984,1,0.021
195.02167,28.3125,1.4,17.86923599243164,1,0.021
195.02167,28.20389,1.1,15.976824760437012,1,0.021
195.02292,27.8925,2.1,15.465357780456543,1,0.021
195.02375,28.05417,1.5,17.217893600463867,1,0.021
195.02625,28.67,1.0,15.600000381469727,1,0.021
195.02667,28.25,4.3,18.136152267456055,1,0.021
195.02833,27.88083,1.4,18.10834503173828,1,0.021
195.03,27.90472,1.5,17.188167572021484,1,0.021
195.03125,28.17306,1.4,14.889270782470703,1,0.021
195.03375,28.34111,1.6,16.716245651245117,1,0.021
195.03417,27.85639,1.6,25.0,1,0.021
195.03417,28.1,3.0,15.514371871948242,1,0.021
195.03542,28.52306,1.1,18.11161994934082,1,0.021
195.03583,28.20556,1.2,25.0,1,0.021
195.03667,28.15389,1.2,17.800907135009766,1,0.021
195.03708,27.75694,2.0,16.383581161499023,1,0.021
195.03708,28.2275,1.0,12.816071510314941,1,0.021
195.03792,28.14111,1.2,19.270000457763672,1,0.021
195.03833,28.165,2.0,18.449270248413086,1,0.021
195.04,28.16472,1.2,18.271785736083984,1,0.021
195.04125,28.29389,1.0,18.449270248413086,1,0.021
195.04208,27.74194,1.2,18.271785736083984,1,0.021
195.04333,28.6875,1.7,17.503154754638672,1,0.021
195.04417,27.97389,4.1,18.346994400024414,1,0.021
195.04583,27.87278,1.3,17.61498260498047,1,0.021
195.04667,27.915,2.7,17.925254821777344,1,0.021
195.04667,28.5675,1.1,18.521448135375977,1,0.021
195.04792,27.7375,1.8,18.5,1,0.021
195.04917,27.82806,1.8,18.038198471069336,1,0.021
195.04958,28.08417,2.8,15.974822044372559,1,0.021
195.05083,28.40583,1.1,18.889999389648438,1,0.021
195.05125,27.72,2.0,15.974822044372559,1,0.021
195.05333,28.40667,1.1,18.889999389648438,1,0.021
195.05458,28.40583,1.2,18.4942626953125,1,0.021
195.055,27.71722,1.2,18.123414993286133,1,0.021
195.05583,28.23444,1.1,17.858257293701172,1,0.021
195.05667,27.95833,1.1,16.167055130004883,1,0.021
195.05667,28.0375,2.3,17.160219192504883,1,0.021
195.05708,27.79611,1.0,17.539905548095703,1,0.021
195.06167,28.66028,1.0,17.56843376159668,1,0.021
195.06375,28.54861,1.2,17.56843376159668,1,0.021
195.06417,28.21306,5.1,18.105215072631836,1,0.021
195.065,27.83639,1.4,17.388273239135742,1,0.021
195.0675,28.46139,1.3,17.4545955657959,1,0.021
195.06833,27.94167,1.9,18.700000762939453,1,0.021
195.06833,27.98389,1.6,18.335681915283203,1,0.021
195.06875,27.92278,1.6,17.916101455688477,1,0.021
195.07,27.94417,1.7,18.335681915283203,1,0.021
195.07,28.21278,3.3,17.916101455688477,1,0.021
195.07042,28.20056,1.5,17.491371154785156,1,0.021
195.0725,27.72528,1.0,18.11763572692871,1,0.021
195.075,28.54167,1.9,19.56999969482422,1,0.021
195.0825,28.35556,1.5,17.798612594604492,1,0.021
195.08333,28.36028,1.7,15.629678726196289,1,0.021
195.08375,27.90722,1.0,17.92522621154785,1,0.021
